title,description,rating,year,tags,cover,mal_Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
Tora Kiss: A School Odyssey,"18 years ago, a powerful monument was discovered on a mysterious island. The momument contained data only certain people could extract – who became students of the island’s school. By being able to extract the data, the students are able to summon a creature that they fight with. Of these people, Satou Taketora is your typical lazy kid who doesn’t do anything, hence he’s ranked dead last. But one day, he’s dragged into a battle with his old childhood friend, and to everyone’s surprise… his summon is more than meets the eye…",3.9,2012,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Shounen', 'School Life', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/tora-kiss-a-school-odyssey-1-190x269.jpg?t=1625910986,Tora Kiss: A School Odyssey,7902,Manga,4,Apr 2012 - Jun 2014,15682,https://myanimelist.net/manga/39627/Tora_Kiss__A_School_Odyssey,https://cdn.myanimelist.net/r/100x140/images/manga/3/85827.jpg?s=fbc151f1242e4fe2ed3cf551bcf7e566,7.04
Bishounen Moraimashita.,"I got a bishie butler for my 16th birthday?!Because of their fathers' promise, Yoshino has a fiance whose face she doesn't even know. This year, he sent her a birthday present that is more troublesome than anything she's ever gotten. A commoner's house doesn't need a butler, you know...?!",3.9,2008,"['Comedy', 'Romance', 'Shoujo', 'Butlers', 'Collections']",https://cdn.anime-planet.com/manga/primary/bishounen-moraimashita-1-190x298.jpg?t=1625910262,Bishounen Moraimashita,6189,Manga,1,2008 -,1038,https://myanimelist.net/manga/9098/Bishounen_Moraimashita,https://cdn.myanimelist.net/r/100x140/images/manga/2/12442.jpg?s=988e7f535dc91094274992d71b198822,7.17
Kurayami ni Strobe,"Arata who is in love with his childhood friend Miyamoto, always eavesdrops on the confessions his friend receives from girls but Miyamoto constantly rejects the confessions saying he already has someone he likes. One day Miyamoto catches Arata eavesdropping and asks, ""Want to know who?""",3.9,2011,"['BL', 'Drama', 'Romance', 'Shounen-ai', 'Childhood Friends', 'School Life']",https://cdn.anime-planet.com/manga/primary/kurayami-ni-strobe-1-190x269.jpg?t=1625911036,Kurayami ni Strobe,1774,Manga,1,Dec 2011 - Aug 2013,8440,https://myanimelist.net/manga/35211/Kurayami_ni_Strobe,https://cdn.myanimelist.net/r/100x140/images/manga/3/113549.jpg?s=86c42857c7c092af1fafafa207f9a6b6,7.67
Dohran,"General Tokugawa was given 13 sacred swords to bring peace to Japan. However just when Tokugawa started a new dynasty, he was assassinated by his 12 commanders, aka masters of the 12 sacred swords. The last one, Crimson Firebird, was given to Dohran, Tokugawa's naive son . Many years have passed and now, under the cover of a travelling performer, Dohran is seeking revenge and also to bring back the smile in the faces of people.",3.9,2007,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Shounen', 'Historical', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/dohran-1-190x295.jpg?t=1625910082,Dohran,12524,Manga,4,Jul 2006 - Jun 2007,1168,https://myanimelist.net/manga/14999/Dohran,https://cdn.myanimelist.net/r/100x140/images/manga/2/178541.jpg?s=4d55b69a90f77a35eb4efbc3c8e10bbc,6.71
Mononofu,"Awkward Takara Shinobu has always been rejected for being incompetent, a “dunce”. No matter how hard he tries – with studies or with people – he always fails. And now he’s stuck going to a back-up high school far from home. Due to a miscommunication, he winds up living in a share-house dedicated to training shougi pros. Introduced to the world of shougi, Shinobu has finally made a connection with people who understand and accept him. However…now he wants to go pro too!?",3.9,2015,"['Comedy', 'Shounen', 'Slice of Life', 'Board Games', 'Boarding House', 'Neighbors']",https://cdn.anime-planet.com/manga/primary/mononofu-1-190x298.jpg?t=1625914273,Mononofu,10190,Manga,5,Sep 2015 - Jul 2016,2107,https://myanimelist.net/manga/92834/Mononofu,https://cdn.myanimelist.net/r/100x140/images/manga/2/171383.jpg?s=c871805cfedfa81fc9f2c2d30c1efd1c,6.88
Uwasa no Midori-kun!!,"Midori Yamate is a 15 year-old girl and is very much a tomboy. When she was young, Midori meets a boy called Tsukasa Hino, who came to the island she lives on for a holiday. He teaches her to play soccer and she falls in love with the sport. Midori is inspired by Tsukasa and continues to play soccer in hopes that they would meet again someday. When they do meet again Tsukasa does something unforgivable. Determined to defeat Tsukasa on the soccer field Midori enrolls in an all boy high school.",3.9,2006,"['Comedy', 'Drama', 'Romance', 'Shoujo', 'Sports', 'School Life', 'Soccer']",https://cdn.anime-planet.com/manga/primary/uwasa-no-midori-kun-1-190x298.jpg?t=1625908407,Uwasa no Midori-kun!!,2884,Manga,10,Aug 2006 - Aug 2008,11730,https://myanimelist.net/manga/619/Uwasa_no_Midori-kun,https://cdn.myanimelist.net/r/100x140/images/manga/3/174196.jpg?s=5cd8a5e3ac9be047a38721f2d0844411,7.49
Doors of Chaos,"When all the doors open, the world will slip into chaos... Only the twins Clalisa (open) and Mizeria (close) control the Four Doors that protect the world from descending into chaos. When Rihitel, their guardian, kidnaps Clalisa, he weakens the Door of Chaos and demons begin to pour through, threatening to destroy the entire kingdom. Will Mizeria find her sister in time to close the door and restore order to the world?",3.9,2007,"['Action', 'Fantasy', 'Shoujo', 'Cancelled']",https://cdn.anime-planet.com/manga/primary/doors-of-chaos-1-190x283.jpg?t=1625910137,Doors of Chaos,5327,Manga,3,Oct 2007 -,2236,https://myanimelist.net/manga/5366/Doors_of_Chaos,https://cdn.myanimelist.net/r/100x140/images/manga/1/33629.jpg?s=9b7191ed3f832e869710b9099c23deac,7.24
Love Roma,"Love Roma is a story of love at first sight—literally. When Hoshino sees Negishi for the first time, he asks her to be his girlfriend. Shocked, Negishi nevertheless agrees to allow to Hoshino to walk her home, where he explains why he is in love with her. Touched, Negishi begins to feel something for this strange young boy from her school.",3.9,2003,"['Comedy', 'Romance', 'Seinen', 'School Life']",https://cdn.anime-planet.com/manga/primary/love-roma-1-190x285.jpg?t=1625908237,Love Roma,2581,Manga,5,2002 - 2005,5250,https://myanimelist.net/manga/413/Love_Roma,https://cdn.myanimelist.net/r/100x140/images/manga/2/138067.jpg?s=6322e2df2044cf6993268000dffb119f,7.53
Ossan Boukensha Kane no Zenkou,"Kane is a middle-aged adventurer who found a rare item known as ""Resurrection fruit"" while in the in the middle of herb gathering. When looking to sell the fruit, Kane meets a girl seeking medicine to save her companion’s life. She looks like Altena, his childhood friend who died, so he gives it to her in exchange for small change. This girl turned out to be the strongest adventurer, Anastrea, who people call the sword princess. The next day, Kane suddenly recives an invitation to join an S rank party, beat down the strongest monster, miraculously gain lots of money, and finally get confessed by a 20 years old saint. Thank to his encounter with Anastrea, Kane’s simple life will change completely. ",3.9,2018,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Guilds', 'Magic', 'Monsters', 'Based on a Light Novel']",https://cdn.anime-planet.com/manga/primary/ossan-boukensha-kane-no-zenkou-1-190x267.jpg?t=1625922734,Ossan Boukensha Kane no Zenkou,11002,Manga,?,Oct 2018 -,3582,https://myanimelist.net/manga/121246/Ossan_Boukensha_Kane_no_Zenkou,https://cdn.myanimelist.net/r/100x140/images/manga/3/221879.jpg?s=eb27f605d981a8c833084fa6c3134ada,6.82
Oyakusoku no Neverland,This entry currently doesn't have a synopsis. Check back soon!,3.9,2019,"['4-koma', 'Comedy', 'Shounen', 'Parody']",https://cdn.anime-planet.com/manga/primary/oyakusoku-no-neverland-1-190x298.jpg?t=1625920943,Oyakusoku no Neverland,12573,Manga,1,Jul 2018 - Mar 2019,1350,https://myanimelist.net/manga/117065/Oyakusoku_no_Neverland,https://cdn.myanimelist.net/r/100x140/images/manga/2/226717.jpg?s=8b7144305092766810e8ed858dac8a9e,6.7
microHUNTER,"While out to get his sister’s favorite snack, Baekhyeon finds himself and the people around him suddenly shrinking... to the size of ants! Now, everything from cats to robotic vacuums pose a threat to human survival. Within this chaos, everyone is given a gift -- a unique superpower and interface that lets them see data about themselves. Though it’s become a dark and desperate world, Baekhyeon must put his ability and wits to the test to make it out alive and save his sister.",3.9,2019,"['Action', 'Drama', 'Manhwa', 'Webtoons', 'Full Color', 'Supernatural', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/microhunter-1-190x266.jpg?t=1625927223,microHUNTER,13969,Manhwa,?,Sep 2019 - Dec 2021,944,https://myanimelist.net/manga/147992/microHUNTER,https://cdn.myanimelist.net/r/100x140/images/manga/1/262627.jpg?s=a33b0cf4732f7fad6a7bd1a4876bdf10,6.58
Strike the Blood,"300 km south of Tokyo lies Itogami Island - a man-made landmass that’s been authorized by the government to house spirits, vampires, mermaids, and other magical beings who’ve been pushed to the brink of extinction. Kojou Akatsuki is one such resident who used to be a typical high school boy, until an incident 3 months ago turned him into the Fourth Progenitor - a powerful vampire - against his will. And while he’d rather stay an anonymous teenager, things change when Yukina, a sword shaman from an anti-terrorism agency, arrives with intentions to watch over and potentially eliminate Kojou...",3.9,2012,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Demons', 'Island', 'Magic', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Supernatural', 'Urban Fantasy', 'Vampires', 'Explicit Violence', 'Based on a Light Novel']",https://cdn.anime-planet.com/manga/primary/strike-the-blood-1-190x286.jpg?t=1625911199,Strike the Blood,5278,Manga,10,Jun 2012 - Dec 2016,7047,https://myanimelist.net/manga/40901/Strike_the_Blood,https://cdn.myanimelist.net/r/100x140/images/manga/1/163503.jpg?s=b489ae2d2cbeb2cbe93c75256b19b4e2,7.24
"Oshiete, Kurogane-kun","When it comes to cooking, Haruka cannot do anything right. She develops a crush on Kurogane-kun who appears to be a nice, shy boy. As Haruka strives to get closer to Kurogane-kun she discovers that not only is he secretly a devil, but he is also known as the household prince!",3.9,2013,"['Comedy', 'Romance', 'Shoujo', 'School Life']",https://cdn.anime-planet.com/manga/primary/oshiete-kurogane-kun-1-190x292.jpg?t=1625913298,"Oshiete, Kurogane-kun",7556,Manga,1,Jun 2012 - Jan 2013,1740,https://myanimelist.net/manga/75067/Oshiete_Kurogane-kun,https://cdn.myanimelist.net/r/100x140/images/manga/1/130077.jpg?s=2283ea66d3c555845e47731de1a93c93,7.07
Nekomichi,"A collection of sweet, realistic tales about the everyday lives of various cats and the people who come to associate with them.",3.9,2006,"['Seinen', 'Slice of Life', 'Animal Protagonists', 'Cats', 'Non-Human Protagonists', 'Pets']",https://cdn.anime-planet.com/manga/primary/nekomichi-1-190x268.jpg?t=1625909608,Nekomichi,6908,Manga,1,Dec 2009 -,839,https://myanimelist.net/manga/23498/Nekomichi,https://cdn.myanimelist.net/r/100x140/images/manga/3/38462.jpg?s=f3623265f9045e45041012c97bd72825,7.11
Babel no Tegami,"Even after all these years, you’re still the only one I think of… I’ll put all of my feelings into this letter for you.",3.9,2009,"['Drama', 'One Shot', 'Romance', 'Shoujo', 'Europe', 'Master-Servant Relationship', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/babel-no-tegami-1-190x266.jpg?t=1625910598,Babel no Tegami,6279,One-shot,?,-,1299,https://myanimelist.net/manga/26287/Babel_no_Tegami,https://cdn.myanimelist.net/r/100x140/images/manga/1/42242.jpg?s=ea7aede34d471dec40ba752e72756a25,7.16
Sengoku Vamp,"Hisaki has time slipped 450 years back to the Sengoku Era! Upon arrival she is greeted by Miyoshi Nagayoshi, a vampire. What on earth will happen to her now? Vampires, warriors, and a high school girl; a forbidden love though time begins!",3.9,2016,"['Romance', 'Shoujo', '16th Century', 'Historical', 'Supernatural', 'Vampires']",https://cdn.anime-planet.com/manga/primary/sengoku-vamp-1-190x270.jpg?t=1625915271,Sengoku Vamp,12672,Manga,5,Dec 2015 - Sep 2017,1670,https://myanimelist.net/manga/96438/Sengoku_Vamp,https://cdn.myanimelist.net/r/100x140/images/manga/2/182274.jpg?s=90a3c60e9e92928c786897f82a677325,6.69
Katakoi,"Nimi's time stops as she struggles to confess to her childhood friend Taku. But what caused Nimi's time to stop, and will she ever leave this cozy existence?",3.9,2011,"['Drama', 'One Shot', 'Romance', 'Shoujo', 'Psychological']",https://cdn.anime-planet.com/manga/primary/katakoi-1-190x250.jpg?t=1625911536,Katakoi,7861,One-shot,?,Oct 2011 - Oct 2011,725,https://myanimelist.net/manga/39687/Katakoi,https://cdn.myanimelist.net/r/100x140/images/manga/1/70361.jpg?s=3898025dc4df87841e0d948c23cc8fe3,7.05
Paradox Blue,"""What is the boundary between game and reality?"" The world is in danger. Strange juggernauts called ""Angels"" have started to appear all around the planet, presenting riddles called ""Paradoxes"" to whoever happens to be in the near vicinity. Answer right and your land will receive God's blessing. However, if you fail to solve the paradox be prepared to receive divine punishment...",3.9,2008,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci Fi', 'Shounen', 'School Life', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/paradox-blue-1-190x276.jpg?t=1625910601,Paradox Blue,6270,Manga,5,Oct 2008 - Nov 2010,1343,https://myanimelist.net/manga/18056/Paradox_Blue,https://cdn.myanimelist.net/r/100x140/images/manga/3/160512.jpg?s=f9850ab67939b88d51186eac24b6bd1e,7.16
Revolt,"After his father died, Naruse Akira retreated into video games, and his mother retreated into alcohol. Naruse plays games almost all the time, getting him in trouble at his private school and worrying his childhood friend Hoju. He's incredibly good at war games because he is good at reading his opponents. One day, he ends up downloading a strange game called ""Revolt"" onto his phone. It's a game that has him orchestrate a revolution, and the graphics seem incredibly life-like. At the end, he learns that he was actually giving real-world orders, and that the game was part of a scouting process for a company that helps to run revolutions. Now they want him to be their commander and help them save the world.",3.9,2015,"['Action', 'Drama', 'Psychological']",https://cdn.anime-planet.com/manga/primary/revolt-1-190x269.jpg?t=1625913929,Revolt,12941,Manga,?,Nov 2014 -,1134,https://myanimelist.net/manga/90068/Revolt,https://cdn.myanimelist.net/r/100x140/images/manga/1/157715.jpg?s=93b0c41ef16f1cbecaaeaffd4d100f52,6.67
Heads,"The shy Jun Naruse is a rather average guy who works for a electronic company and loves to draw. He falls in love with Megumi whom he met at a shop selling drawing materials and an intimate relationship develops. A few days later the office gets attacked and when the criminal tries to shoot a little girl he saves her by jumping in front of her. A month passes until he wakes up again and is told that half his brain got destroyed and he only survived because someone donated half a brain. Everything seems to be fine, he quickly recovers and is happy, however he begins to change... is the donated brain the reason for that? Or is it just a side effect of the medicine?",3.9,2002,"['Drama', 'Mystery', 'Romance', 'Sci Fi', 'Seinen', 'Psychological']",https://cdn.anime-planet.com/manga/primary/heads-1-190x268.jpg?t=1625909331,Heads,3441,Manga,4,Jul 2002 - Apr 2003,13040,https://myanimelist.net/manga/2179/Heads,https://cdn.myanimelist.net/r/100x140/images/manga/1/266962.jpg?s=60d01fd51a889c79bb9e2c3d1a32e85c,7.42
Ichigo to Anzu,"Biological twins--and they couldn't be more different. Friendly outgoing Anzu is in love with Makoto, but can't work up the nerve to confess. Shy withdrawn Ichigo (the one with the glasses) was a stalking victim and now hates men. But they're going to need each other to cope with a huge change in their lives. Their mother has remarried and the twins discover they've gained a brother as well; clever and carefree Kenta. And Kenta (with Makoto) has a plan to help Ichigo--just make the twins trade identities!",3.9,2005,"['Drama', 'Josei', 'Romance', 'Slice of Life', 'Impersonation', 'Remarriage', 'School Life', 'Siblings']",https://cdn.anime-planet.com/manga/primary/ichigo-to-anzu-1-187x300.jpg?t=1625910508,Ichigo to Anzu,9186,Manga,5,2005 - 2007,604,https://myanimelist.net/manga/10577/Ichigo_to_Anzu,https://cdn.myanimelist.net/r/100x140/images/manga/2/14196.jpg?s=d19998825f6154b7de9e3f2b050f3bd0,6.95
Futakoi Alternative,"Tells the story of Rentaro Futaba and his detective agency. One day a set of twins, Sara and Soju, show up at his doorstep. They move in with him and work as secretaries for his agency.",3.9,2006,"['Drama', 'Romance', 'Shounen', 'Detectives', 'Based on an Anime']",https://cdn.anime-planet.com/manga/primary/futakoi-alternative-1-190x272.jpg?t=1625910543,Futakoi Alternative,14841,Manga,1,2006 - 2006,438,https://myanimelist.net/manga/12913/Futakoi_Alternative,https://cdn.myanimelist.net/r/100x140/images/manga/5/34854.jpg?s=db2c5a833fab043a5ca45ee1de88e514,6.51
Joshidaisei Kateikyoushi Hamanaka Ai,"Kokubo Masahiko is normal Junior High School student, but because of his bad grades he gets a home tutor known by the name of Hamanaka Ai. With help from her senpai Nakamura Ryoko, she goes about her days being a home tutor to a young boy bringing perversion and misunderstandings along with it.",3.9,2003,"['Comedy', 'Ecchi', 'Shounen', 'School Life', 'Tutors']",https://cdn.anime-planet.com/manga/primary/joshidaisei-kateikyoushi-hamanaka-ai-1-190x293.jpg?t=1625911193,Joshidaisei Kateikyoushi Hamanaka Ai,11257,Manga,6,Sep 2003 - Mar 2006,574,https://myanimelist.net/manga/11969/Joshidaisei_Kateikyoushi_Hamanaka_Ai,https://cdn.myanimelist.net/r/100x140/images/manga/1/195654.jpg?s=de118eafe713df2e8f8cd766f51bdca5,6.81
Golondrina,"The betrayal of her lover sends Chica into despair and as result she attempts to end her own life. But she is saved by a man called Antonio, who helps nurse her back to health. It is then Chica that decides and swears: ""I will become a bullfighter. By becoming one, I will be able to die in front of my lover."" But little does Chica know of the difficult road that lies ahead and the trouble she must face to follow the path of a matador...",3.9,2011,"['Drama', 'Seinen', 'Slice of Life', 'Cancelled']",https://cdn.anime-planet.com/manga/primary/golondrina-1-190x272.jpg?t=1625911764,Golondrina,3669,Manga,?,2011 -,1043,https://myanimelist.net/manga/36929/Golondrina,https://cdn.myanimelist.net/r/100x140/images/manga/2/66615.jpg?s=8f6a4b33d931d893015fe728a8021344,7.39
Dramatic Irony,Includes the following chapters:,3.9,1995,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Collections']",https://cdn.anime-planet.com/manga/primary/dramatic-irony-1-190x278.jpg?t=1625912520,Dramatic Irony,15191,Manga,1,1995 - 2000,520,https://myanimelist.net/manga/10678/Dramatic_Irony,https://cdn.myanimelist.net/r/100x140/images/manga/5/112095.jpg?s=a563fcae5f62ff1829608c23ecf4e760,6.47
Pink to Gray,"Two best friends enter the entertainment industry together., but as time goes on, one young man becomes a star while the other is left to languish in supporting roles.",3.9,2012,"['Drama', 'Shoujo', 'Slice of Life']",https://cdn.anime-planet.com/manga/primary/pink-to-gray-1-190x271.jpg?t=1625912652,Pink to Gray,5247,Manga,2,Aug 2012 - May 2013,747,https://myanimelist.net/manga/42131/Pink_to_Gray,https://cdn.myanimelist.net/r/100x140/images/manga/2/90001.jpg?s=fd0493058f5dc6ed80e52e35881337b0,7.25
Komori Quintet!,"In order to follow her dreams and be like her mom, Chika sought out her mom’s high school to join the Folk Music Club. However, when she entered the school, the club that her mother made famous no longer existed. Depressed and at a loss for what to do, Chika eventually meets Tenko who wishes to create a band and believes Chika to be the answer. Chika is excited to be able to play in a rock band but... why are the other members all holding string instruments?",3.9,2013,"['Comedy', 'Shounen', 'Music', 'School Life']",https://cdn.anime-planet.com/manga/primary/komori-quintet-1-190x270.jpg?t=1625913127,Komori Quintet!,9306,Manga,3,Jun 2013 - May 2015,526,https://myanimelist.net/manga/67379/Komori_Quintet,https://cdn.myanimelist.net/r/100x140/images/manga/1/156359.jpg?s=587294361ccd591ac5aa62cf3d77bce8,6.94
Hana to Sakazuki,"Ayame is 25 years old. She lost her father fifteen years ago, and is now in search of the pub that she had once frequented with him. Night after night, she stops in at pubs on her way home from work, and on one particular night happens across a man who might be able to help her find what she's missing...",3.9,2014,"['Drama', 'Seinen', 'Slice of Life']",https://cdn.anime-planet.com/manga/primary/hana-to-sakazuki-1-190x279.jpg?t=1625920032,Hana to Sakazuki,9902,Manga,1,Jan 2014 - Aug 2015,289,https://myanimelist.net/manga/120273/Hana_to_Sakazuki,https://cdn.myanimelist.net/r/100x140/images/manga/3/220987.jpg?s=5b8f1d41f5b1e2ba8ca14e8cf4343bf2,6.9
Togari,"Tobei, a ruthless punk from feudal Japan, has been damned to hell for the past 300 years. Given a chance for redemption, he's sent to the modern world to vanquish 108 malevolent spirits in 108 days. Will the baffling ways of the present prove to be an even greater foe than the sinister fiends he must defeat? Tobei is about to go medieval on the 21st century!",3.9,2001,"['Action', 'Shounen', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/togari-1-190x285.jpg?t=1625908475,Togari,5309,Manga,8,Jan 2001 - Mar 2002,4814,https://myanimelist.net/manga/861/Togari,https://cdn.myanimelist.net/r/100x140/images/manga/1/281188.jpg?s=819ebe221b378a1dfc196ff16b7a0864,7.24
Excel Saga,"Hail Ilpalazzo! Excel is always ready for ACROSS duty! With faithful, frail, fading accomplice Hyatt and loyal emergency ration supply Mince, she's ready to prove it's all society's fault! With a corrupt world that only ACROSS can save/rule, their task must begin at a realistic level - with the conquest of a city. Other world domination organizations may have money, but they have spirit! A government organization out to protect the city, and even Excel's own luck may hinder them, but not even death will stop one of their number. But how can these girls save the world when they can't even guarantee they'll have dinner tonight?",3.9,1997,"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Seinen', 'Breaking the Fourth Wall', 'Gag', 'Slapstick', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/excel-saga-1-190x285.jpg?t=1625907634,Excel Saga,4409,Manga,27,Apr 1997 - Jul 2011,6168,https://myanimelist.net/manga/695/Excel_Saga,https://cdn.myanimelist.net/r/100x140/images/manga/1/54297.jpg?s=048c84579f3fe6688e60e06556bfbbf3,7.32
Kurayami no Shutter Speed,"It's been a while since these two appeared, but from the one they'll pass on the baton...",3.9,2014,"['BL', 'One Shot', 'Romance', 'Shounen-ai', 'Slice of Life']",https://cdn.anime-planet.com/manga/primary/kurayami-no-shutter-speed-1-190x288.jpg?t=1625915315,Kurayami no Shutter Speed,8593,One-shot,?,Oct 2014 - Oct 2014,700,https://myanimelist.net/manga/99755/Kurayami_no_Shutter_Speed,https://cdn.myanimelist.net/r/100x140/images/manga/1/180255.jpg?s=2810782b34ea23a5233d91aff6a0f664,7.0
Region,"The month is February, but it hasn’t snowed all winter. Kanon’s father is often away on business trips and might be getting a little too friendly with his pretty young female subordinate; which Kanon doesn’t approve of so soon after her mother’s death. Her little brother collects insects, but they’re dying off. It turns out that these deaths are the first of many a plague to come down. First it’s the insects, inexplicably dropping dead everywhere. Then it’s the rats, looking for a new food source. And things just keep getting worse…",3.9,2007,"['Drama', 'Horror', 'Seinen', 'Violence']",https://cdn.anime-planet.com/manga/primary/region-1-190x271.jpg?t=1625909486,Region,13706,Manga,3,Aug 2007 - Aug 2008,1371,https://myanimelist.net/manga/24648/Region,https://cdn.myanimelist.net/r/100x140/images/manga/3/39666.jpg?s=adaa122d9e83a245824aeb40c79c3543,6.61
Strange Orange,"Asuka and Tomaru have a long and rich relationship. They met fifteen years ago in the hospital, having been born on the same day, and have been fast friends ever since. The two are now young adults and still continue to do everything together and confide in each other always, but they've reached the age where they should be getting a significant other, and their once ideal relationship is now becoming complicated. The two decide to not date, but jealously still seems to enter the picture. What will become of these childhood friends?",3.9,2006,"['Comedy', 'Romance', 'Shoujo', 'School Life']",https://cdn.anime-planet.com/manga/primary/strange-orange-1-190x294.jpg?t=1625908108,Strange Orange,4276,Manga,3,Oct 2006 - Apr 2007,1031,https://myanimelist.net/manga/7219/Strange_Orange,https://cdn.myanimelist.net/r/100x140/images/manga/4/112131.jpg?s=e27abd1e723207099852b5b731315aa4,7.33
Captain Tsubasa Tanpenshuu: Dream Field,This entry currently doesn't have a synopsis. Check back soon!,3.9,2000,"['Drama', 'Seinen', 'Sports', 'Soccer']",https://cdn.anime-planet.com/manga/primary/captain-tsubasa-tanpenshuu-dream-field-1-190x275.jpg?t=1625908310,Captain Tsubasa Tanpenshuu: Dream Field,6979,Manga,2,2000 - 2006,698,https://myanimelist.net/manga/15333/Captain_Tsubasa_Tanpenshuu__Dream_Field,https://cdn.myanimelist.net/r/100x140/images/manga/2/155029.jpg?s=7bc228bbe9d34ebdbdc99d8a01f1897e,7.11
Taming a Defective Angel,"Suyun's parents died when she was little. She is raised by a too-soft ""Bro"" and a money crazy sister that sends her to part time jobs by screaming each and every day. The only money she is allowed to have and spend is the money she earns; part of the money she earns, that is. So she works 24 hours a day- during morning she works as a student while during night she works as a par-time job girl. But she doesn't think that is enough... That is why she secretly works as ""Guardian Angel"", one who defeats those who have bullied the weaker. For a price, that is. What will happen when Suyun meets a real angel- one who has been banished from paradise?",3.9,2003,"['Comedy', 'Fantasy', 'Manhwa', 'Shoujo', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/taming-a-defective-angel-1-190x289.jpg?t=1625908957,Taming a Defective Angel,11693,Manhwa,12,2003 -,438,https://myanimelist.net/manga/12840/Taming_a_Defective_Angel,https://cdn.myanimelist.net/r/100x140/images/manga/2/262178.jpg?s=6109d1a66235ffce5a03aab3e2e6f116,6.77
Let's Fight Ghost,"A boy named Park BongPal has psychic abilities to see, talk, and - get this - touch ghosts.",3.9,2007,"['Action', 'Adventure', 'Comedy', 'Manhwa', 'Webtoons', 'Full Color', 'Ghosts', 'Psychic Powers', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/lets-fight-ghost-1-190x281.jpg?t=1625910627,Let's Fight Ghost,11350,Manhwa,?,Jun 2007 - Oct 2010,547,https://myanimelist.net/manga/28527/Lets_Fight_Ghost,https://cdn.myanimelist.net/r/100x140/images/manga/3/45713.jpg?s=a2fa9e5965173f4be2c96d614aa79e26,6.8
Shounen Onmyouji,"Abe no Masahiro, grandson of the famous Abe no Seimei, is always looked down because he could not see spirits. But he saw them when he was younger? After some unexpected occurrences, he can see spirits once more and must try to prove to himself that he isn't just ""Seimei's grandson"" with the help of Mokkun, the so-called mononoke.",3.9,2005,"['Fantasy', 'Romance', 'Shoujo', 'Historical', 'Supernatural', 'Based on a Light Novel']",https://cdn.anime-planet.com/images/manga/default/default-manga.png,Shounen Onmyouji,9457,Manga,?,Aug 2005 -,617,https://myanimelist.net/manga/12663/Shounen_Onmyouji,https://cdn.myanimelist.net/r/100x140/images/manga/3/17595.jpg?s=95996552a33999331dab00740f9c8411,6.93
Risou no Tsuma no Takurami wa,"Tired of evading matchmaking mama's and his grandmother's constant pleas for a granddaughter-in-law as well as great grandchildren, Baron Sedgewick- Alexander Denford finally acquires a wife. His wife is retiring, sickly and accomodating, in other words, perfect. That is why she lives secluded in their country home. She also corresponds frequently with Alex's grandmother. However when bills from the baroness starts appearing from various shops in London, Alex vows to get to the bottom of it. As his wife is only a figment of his imagination. What exactly will he find in London?",3.9,2010,"['Comedy', 'Drama', 'Josei', 'Mystery', 'Romance', 'England', 'Europe', 'Harlequin', 'Historical', 'Nobility']",https://cdn.anime-planet.com/manga/primary/risou-no-tsuma-no-takurami-wa-1-190x270.jpg?t=1625911894,Risou no Tsuma no Takurami wa,7848,Manga,2,2010 -,323,https://myanimelist.net/manga/23753/Risou_no_Tsuma_no_Takurami_wa,https://cdn.myanimelist.net/r/100x140/images/manga/3/38407.jpg?s=dfe63bc062ff614ec264bbcc8970532e,7.05
Juukinzoku Kanojo,"The Heavy Metal Music Group at the high school consists of just Amanokawa Rinko and the main character, a teenage boy madly in love with her. The club is intended for people who enjoy the music genre to discuss their passion for heavy metal. However, there's only one kind of passion going on in this club house located in the outskirts of campus, and it is definitely rockin'.",3.9,2010,"['Comedy', 'Romance', 'Shounen', 'Music', 'School Club', 'School Life']",https://cdn.anime-planet.com/manga/primary/juukinzoku-kanojo-1-190x270.jpg?t=1625912411,Juukinzoku Kanojo,9666,Manga,3,Sep 2010 - Jul 2011,1335,https://myanimelist.net/manga/24743/Juukinzoku_Kanojo,https://cdn.myanimelist.net/r/100x140/images/manga/1/188467.jpg?s=93ba0ba7f4d50ab45ee3d1d5a73dd862,6.92
