title,description,rating,year,tags,cover,mal_Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
Overlord,"What do you do when your favorite game shuts down? Momonga decided to stay logged in right up until the very end. But when the servers go dark, he finds himself transported into the game world--and he's been transformed into his skeletal avatar from the game, awesome magical powers included! But what if he's the villain of his own story?",4.6,2014,"['Action', 'Adventure', 'Fantasy', 'Dark Fantasy', 'Demons', 'Isekai', 'Magic', 'MMORPG', 'Overpowered Main Characters', 'Person in a Strange World', 'RPG', 'Skeletons', 'Trapped in a Video Game', 'Virtual Reality', 'Violence', 'Adapted to Anime', 'Based on a Light Novel']",https://cdn.anime-planet.com/manga/primary/overlord-1-190x282.jpg?t=1625913574,Overlord,66,Light-Novel,?,Jul 2012 -,59875,https://myanimelist.net/manga/81669/Overlord,https://cdn.myanimelist.net/r/100x140/images/manga/1/160558.jpg?s=c1683e76d28621994efa4f58914f0a1c,8.65
Kimi wa Houkago Insomnia,"A story about two students who share a bad case of insomnia, who find napping refuge in their school’s abandoned observatory.",4.6,2019,"['Drama', 'Romance', 'Seinen', 'Astronomy', 'Photography', 'School Club', 'School Life', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/kimi-wa-houkago-insomnia-1-190x269.jpg?t=1625922783,Kimi wa Houkago Insomnia,109,Manga,?,May 2019 -,36829,https://myanimelist.net/manga/121213/Kimi_wa_Houkago_Insomnia,https://cdn.myanimelist.net/r/100x140/images/manga/2/221335.jpg?s=d076838a24df20c49db2b63ab3568d77,8.55
The World After the Fall,"Faced with imminent defeat and certain death, would you choose to run – or continue to fight for a doomed world? When mysterious towers appear across the world, summoning monsters that prey on mankind, this is the choice presented to the Tower Walkers – adventurers with special powers to fight the monsters. On the brink of death, they can choose to use a “regression stone” to return to the past for a second chance, though this decision places them in a separate timeline forever. Stubborn Tower Walker Jaehwan rejects this choice, choosing to fight for the original timeline, and learning shocking secrets about the Tower along the way.",4.6,2022,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/the-world-after-the-fall-1-285x399.webp?t=1644380880,The World After the Fall,3102,Manhwa,?,Feb 2022 -,12861,https://myanimelist.net/manga/147217/The_World_After_the_Fall,https://cdn.myanimelist.net/r/100x140/images/manga/3/260852.jpg?s=a640304884ec897b6924d34381bbb8fb,7.46
Unholy Blood,"When vampires destroy her chance to have the normal life she’s always wanted, Hayan is forced to draw on her darkest secret to rid the world of the merciless hunters that took it over 10 years ago. With the support of a rising star in the local police force, Hayan steps up to protect her loved ones, face her past, and get her revenge.",4.6,2020,"['Action', 'Drama', 'Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Non-Human Protagonists', 'School Life', 'Secret Identity', 'Supernatural', 'Urban Fantasy', 'Vampires', 'Mature Themes', 'Violence', 'Domestic Abuse']",https://cdn.anime-planet.com/manga/primary/unholy-blood-1-285x393.jpg?t=1633813148,Unholy Blood,899,Manhwa,8,Jan 2020 - Sep 2021,17179,https://myanimelist.net/manga/131843/Unholy_Blood,https://cdn.myanimelist.net/r/100x140/images/manga/2/238421.jpg?s=bbab4da39f69bd6b9c00b98ba8501f11,7.92
Surviving Romance,"When Chaerin Eun becomes the protagonist of the romance novel she is reading, she expects a fairytale ending with the novel’s love interest, Jeha. But when a bizarre twist makes her realize the story is not playing out as it does in the book, she’ll need the help of an unlikely character from her class to defy the new storyline and find her happy ending -- if only she can figure out who this ‘Unknown Extra’ is first!",4.6,2021,"['Horror', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Person in a Strange World', 'Transported Into a Novel', 'Mature Themes', 'Suicide']",https://cdn.anime-planet.com/manga/primary/surviving-romance-1-190x266.jpg?t=1625930229,Surviving Romance,1513,Manhwa,?,Jan 2021 - Jun 2023,2802,https://myanimelist.net/manga/147276/Surviving_Romance,https://cdn.myanimelist.net/r/100x140/images/manga/2/270717.jpg?s=3d5cb71404557cab6da68d63fe05aba5,7.73
Golden Kamuy,"In the early twentieth century, Russo-Japanese War veteran Saichi “Immortal” Sugimoto scratches out a meager existence during the postwar gold rush on the wild frontier of Hokkaido. When he stumbles across a map to a fortune in hidden Ainu gold, he sets off on a treacherous quest to find it. But Sugimoto is not the only interested party, and everyone who knows about the gold will kill to possess it! Faced with the harsh conditions of the northern wilderness, ruthless criminals and rogue Japanese soldiers, Sugimoto will need all his skills and luck—and the help of an Ainu girl named Asirpa—to survive.",4.6,2014,"['Action', 'Adventure', 'Comedy', 'Drama', 'Seinen', 'Dark Comedy', 'Historical', 'Treasure Hunters', 'Animal Abuse', 'Explicit Violence', 'Mature Themes', 'Nudity', 'Sexual Content', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/golden-kamuy-1-190x273.jpg?t=1625914230,Golden Kamuy,70,Manga,31,Aug 2014 - Apr 2022,84796,https://myanimelist.net/manga/85968/Golden_Kamuy,https://cdn.myanimelist.net/r/100x140/images/manga/3/149257.jpg?s=9a9ee2f804339d0fe64c6b0c41d75ab9,8.63
Lout of Count’s Family,"Kim Roksu has one life motto: “Let’s not get beat up.” But after dozing off somewhere midway through the novel “Birth of a Hero,” he wakes up as Cale Henituse - one of the minor villains in the novel who gets the beating of a lifetime from soon-to-be hero Choi Han. Only time will tell how much longer he has before that dreadful encounter. Can Kim Roksu change the course of this story so he can enjoy a long and lavish life free of the soon-to-be hero?",4.6,2020,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Manhwa', 'Webtoons', 'Dragons', 'Full Color', 'Isekai', 'Magic', 'Nobility', 'Person in a Strange World', 'Political', 'Transported Into a Novel', 'Weak to Strong', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/lout-of-counts-family-1-285x399.webp?t=1630108539,Lout of Count's Family,1514,Manhwa,?,Aug 2020 -,10909,https://myanimelist.net/manga/147317/Lout_of_Counts_Family,https://cdn.myanimelist.net/r/100x140/images/manga/2/261316.jpg?s=e02b67b57f80f3a941ee4d51809d812e,7.73
Kusuriya no Hitorigoto: Maomao no Koukyuu Nazotoki Techou,"In the imperial court, a young woman is put into servitude, Maomao. The tale is just beginning for the woman doctor/pharmacist from the red-light district, as rumors circulate about the emperor's children's lives being short-lived. Her curious nature and thirst for knowledge pushes her to action. To satisfy her curiosity, this young doctor/pharmacist will investigate the origin! What is shifting in the imperial court..!?",4.6,2017,"['Drama', 'Mystery', 'Romance', 'Seinen', 'Slice of Life', 'Doctors', 'Historical', 'Based on a Light Novel']",https://cdn.anime-planet.com/manga/primary/kusuriya-no-hitorigoto-maomao-no-koukyuu-nazotoki-techou-1-285x411.jpg?t=1634347935,Kusuriya no Hitorigoto: Maomao no Koukyuu Nazotoki Techou,3918,Manga,?,Aug 2017 -,862,https://myanimelist.net/manga/110929/Kusuriya_no_Hitorigoto__Maomao_no_Koukyuu_Nazotoki_Techou,https://cdn.myanimelist.net/r/100x140/images/manga/2/207249.jpg?s=95b577b655f3fffb5112be65c4f196c8,7.37
My Life as an Internet Novel,"Every novel has the usual cast: a gorgeous heroine, handsome boys vying for her attention, and a homely best friend at the heroine’s side. Dani, an ordinary student and avid reader of internet novels, is all too familiar with these tropes. But she never imagined that one day she’d wake up at the center of one herself! Her new fictional world is complete with a beautiful best friend named Yeoryung, and four impossibly good-looking boys who all happen to be in her class. Dani is determined to stay out of the way and not get involved in the twists and turns of the plot. But is she really just the sidekick -- or is Dani actually the leading lady? Anything is possible in the world of a novel!",4.6,2017,"['Comedy', 'Drama', 'Fantasy', 'Manhwa', 'Reverse Harem', 'Romance', 'Webtoons', 'Full Color', 'Person in a Strange World', 'School Life', 'Transported Into a Novel', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/my-life-as-an-internet-novel-1-190x276.jpg?t=1625922239,My Life as an Internet Novel,1185,Manhwa,?,Apr 2019 -,7931,https://myanimelist.net/manga/127559/My_Life_as_an_Internet_Novel,https://cdn.myanimelist.net/r/100x140/images/manga/2/234083.jpg?s=f5e9b494a4686be4fe1f3d6516cf687f,7.82
The Villainess Turns the Hourglass,"After her lowly mother married a count, Aria enjoyed a life full of luxury while harassing her gentle stepsister Mielle. Several years later, Aria is about to be executed when Mielle reveals that she wickedly tricked Aria into building the bad reputation that ultimately brought her to the scaffold. Just as Aria desparately wishes she could change her fate, she sees a curious hourglass that takes her back into the past. Now, Aria can destroy Mielle by using her own tactics against her like a true villainess. The power of the hourglass is on her side... Can Aria take everything from Mielle, or will her actions change the past in ways she couldn't have imagined?",4.6,2020,"['Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Betrayal', 'Full Color', 'Nobility', 'Revenge', 'Second Chance', 'Time Travel', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/the-villainess-turns-the-hourglass-1-190x276.jpg?t=1625924987,The Villainess Turns the Hourglass,1307,Manhwa,?,Mar 2020 - Nov 2022,7056,https://myanimelist.net/manga/147207/The_Villainess_Turns_the_Hourglass,https://cdn.myanimelist.net/r/100x140/images/manga/2/261146.jpg?s=022633ad87d226b36b4103ea26a01c04,7.78
